Model,TP,FN,FP,TN
M5-A4-B11-C2,849,151,678,322
M2-A11-B10-C7,932,68,679,321
M6-A3-B4-C8,940,60,831,169
M6-A3-B10-C11,927,73,347,653
M3-A1-B6-C10,748,252,590,410
M4-A10-B6-C8,926,74,909,91
M10-A7-B8-C5,822,178,610,390
M11-A11-B7-C4,99,901,4,996
M7-A3-B2-C9,946,54,898,102
M1-A5-B8-C10,657,343,397,603
M9-A7-B3-C2,911,89,437,563
M13-A4-B2-C2,886,114,780,220
M1-A11-B3-C3,967,33,716,284
M8-A10-B3-C6,845,155,841,159
M9-A8-B1-C2,814,186,350,650
M10-A8-B6-C8,911,89,790,210
M1-A7-B8-C8,535,465,372,628
M3-A9-B1-C7,929,71,851,149
M10-A7-B5-C3,930,70,854,146
M13-A4-B7-C11,603,397,54,946
M2-A1-B6-C7,912,88,348,652
M3-A11-B9-C3,471,529,439,561
M8-A6-B11-C10,945,55,831,169
M2-A11-B7-C7,773,227,673,327
M2-A1-B7-C9,752,248,616,384
M2-A10-B7-C2,853,147,272,728
M3-A5-B2-C3,671,329,653,347
M1-A6-B3-C7,537,463,417,583
M7-A5-B2-C5,845,155,137,863
M9-A1-B1-C12,881,119,531,469
M7-A1-B8-C2,904,96,450,550
M2-A5-B7-C5,439,561,121,879
M10-A3-B11-C12,966,34,354,646
M11-A11-B10-C8,933,67,611,389
M9-A7-B7-C3,513,487,432,568
M8-A11-B5-C9,948,52,848,152
M1-A10-B5-C3,653,347,9,991
M10-A1-B3-C10,873,127,559,441
M8-A6-B8-C4,981,19,959,41
M4-A8-B11-C9,785,215,214,786
M7-A8-B3-C12,701,299,433,567
M10-A3-B2-C7,823,177,546,454
M1-A3-B1-C9,907,93,334,666
M7-A2-B5-C3,740,260,509,491
M8-A2-B10-C4,895,105,677,323
M1-A5-B3-C12,348,652,164,836
M10-A3-B3-C11,965,35,659,341
M4-A2-B7-C8,677,323,121,879
M9-A11-B6-C6,944,56,447,553
M5-A3-B3-C5,579,421,46,954
M11-A2-B7-C6,976,24,335,665
M4-A8-B10-C5,921,79,804,196
M6-A6-B6-C12,960,40,941,59
M7-A4-B7-C6,823,177,377,623
M1-A2-B1-C5,542,458,421,579
M11-A6-B6-C5,471,529,172,828
M7-A8-B4-C8,933,67,321,679
M2-A10-B7-C9,864,136,634,366
M12-A2-B2-C8,749,251,385,615
M4-A3-B11-C9,849,151,158,842
M11-A9-B3-C6,905,95,553,447
M6-A4-B6-C3,964,36,744,256
M9-A3-B8-C7,737,263,106,894
M7-A11-B8-C6,971,29,765,235
M10-A8-B11-C4,906,94,541,459
M9-A1-B9-C12,806,194,387,613
M3-A2-B5-C10,996,4,951,49
M11-A5-B4-C7,861,139,698,302
M6-A7-B9-C10,917,83,853,147
M3-A2-B4-C12,873,127,14,986
M5-A3-B7-C9,944,56,451,549
M1-A7-B7-C10,760,240,452,548
M8-A1-B3-C5,920,80,578,422
M10-A9-B10-C9,980,20,935,65
M1-A7-B2-C9,663,337,380,620
M12-A5-B11-C1,949,51,809,191
M6-A8-B4-C11,744,256,289,711
M1-A1-B2-C11,662,338,646,354
M3-A6-B9-C3,160,840,2,998
M3-A4-B8-C4,664,336,617,383
M7-A4-B9-C11,248,752,177,823
M4-A1-B1-C4,642,358,572,428
M5-A11-B3-C1,848,152,641,359
M7-A11-B5-C11,610,390,199,801
M11-A8-B7-C11,930,70,927,73
M8-A11-B1-C4,284,716,92,908
M7-A5-B9-C2,991,9,749,251
M7-A10-B3-C6,645,355,137,863
M6-A10-B10-C1,737,263,663,337
M6-A5-B10-C6,976,24,962,38
M6-A11-B11-C12,812,188,357,643
M2-A3-B8-C5,888,112,631,369
M5-A1-B6-C8,936,64,233,767
M7-A1-B5-C3,982,18,800,200
M9-A11-B3-C10,913,87,75,925
M2-A3-B6-C4,574,426,154,846
M13-A11-B9-C1,946,54,885,115
M5-A5-B8-C4,717,283,372,628
M9-A5-B3-C6,742,258,688,312
M2-A3-B4-C10,960,40,836,164
M4-A3-B2-C7,959,41,928,72
M9-A5-B5-C9,978,22,636,364
M13-A9-B6-C6,916,84,816,184
M9-A4-B5-C12,262,738,196,804
M6-A10-B2-C8,935,65,832,168
M4-A1-B10-C9,702,298,419,581
M4-A3-B5-C10,856,144,447,553
M11-A2-B7-C10,160,840,72,928
M7-A6-B5-C1,484,516,291,709
M12-A10-B4-C11,546,454,294,706
M13-A10-B11-C10,687,313,640,360
M7-A2-B6-C1,723,277,532,468
M2-A9-B8-C5,191,809,12,988
M5-A9-B7-C1,415,585,322,678
M13-A6-B5-C1,778,222,169,831
M12-A1-B9-C8,632,368,628,372
M4-A9-B11-C2,782,218,694,306
M9-A10-B1-C4,985,15,983,17
M7-A11-B10-C2,719,281,699,301
M3-A10-B9-C2,859,141,503,497
M2-A10-B9-C12,858,142,393,607
M1-A10-B2-C7,723,277,257,743
M6-A6-B7-C12,977,23,435,565
M13-A6-B4-C5,959,41,339,661
M10-A9-B11-C2,866,134,816,184
M2-A2-B7-C2,903,97,722,278
M7-A9-B9-C10,989,11,396,604
M12-A8-B1-C1,651,349,28,972
M3-A9-B4-C7,925,75,763,237
M2-A11-B9-C10,844,156,839,161
M7-A9-B8-C4,616,384,36,964
M6-A3-B7-C7,944,56,930,70
M1-A4-B4-C5,985,15,809,191
M6-A3-B7-C5,734,266,668,332
M7-A2-B6-C12,387,613,87,913
M9-A5-B1-C2,911,89,884,116
M2-A11-B6-C10,391,609,225,775
M7-A2-B9-C1,452,548,109,891
M10-A6-B7-C5,904,96,826,174
M1-A1-B11-C5,900,100,825,175
M12-A1-B1-C11,872,128,533,467
M8-A1-B6-C2,622,378,549,451
M9-A9-B2-C12,851,149,483,517
M8-A2-B8-C7,910,90,681,319
M5-A9-B6-C11,380,620,233,767
M5-A2-B9-C5,986,14,784,216
M12-A7-B7-C6,533,467,74,926
M6-A5-B1-C7,643,357,523,477
M11-A3-B5-C7,961,39,693,307
M13-A2-B3-C12,655,345,218,782
M2-A2-B9-C10,595,405,500,500
M8-A4-B4-C2,989,11,960,40
M5-A9-B11-C10,82,918,81,919
M8-A8-B9-C12,417,583,302,698
M7-A6-B8-C11,361,639,282,718
M6-A5-B7-C6,938,62,619,381
M12-A9-B11-C5,867,133,202,798
M13-A1-B9-C4,663,337,218,782
M7-A5-B7-C7,691,309,546,454
M1-A8-B10-C6,858,142,441,559
M7-A3-B11-C3,106,894,92,908
M6-A7-B4-C3,999,1,997,3
M4-A1-B7-C3,610,390,577,423
M6-A6-B3-C4,997,3,199,801
M6-A2-B7-C6,717,283,523,477
M2-A4-B6-C3,691,309,336,664
M9-A7-B5-C4,916,84,719,281
M6-A5-B4-C1,581,419,573,427
M6-A6-B10-C1,810,190,545,455
M11-A7-B4-C3,944,56,922,78
M4-A7-B2-C9,458,542,353,647
M2-A6-B1-C1,583,417,187,813
M9-A6-B8-C3,928,72,886,114
M11-A2-B9-C7,784,216,189,811
M6-A7-B1-C1,561,439,196,804
M12-A8-B6-C9,678,322,379,621
M8-A7-B1-C1,946,54,895,105
M9-A7-B8-C10,807,193,481,519
M8-A5-B2-C2,703,297,577,423
M7-A6-B2-C10,921,79,383,617
M10-A1-B11-C10,887,113,878,122
M5-A7-B7-C1,558,442,417,583
M8-A6-B1-C4,585,415,527,473
M3-A5-B10-C11,902,98,880,120
M2-A8-B5-C2,990,10,869,131
M8-A6-B7-C10,699,301,391,609
M7-A7-B8-C1,953,47,907,93
M2-A7-B5-C6,979,21,904,96
M12-A5-B1-C3,978,22,931,69
M12-A6-B6-C6,514,486,429,571
M2-A3-B3-C2,991,9,749,251
M7-A4-B6-C7,868,132,579,421
M6-A11-B7-C12,587,413,505,495
M7-A8-B11-C7,436,564,282,718
M12-A10-B9-C12,518,482,105,895
M11-A10-B10-C6,730,270,477,523
M8-A10-B8-C8,981,19,892,108
M9-A8-B11-C4,806,194,690,310
M11-A10-B6-C8,843,157,286,714
M1-A1-B9-C6,959,41,936,64
M6-A7-B9-C5,810,190,456,544
M9-A3-B2-C5,552,448,192,808
M6-A6-B4-C11,986,14,959,41
M8-A5-B5-C5,568,432,14,986
M9-A7-B7-C10,707,293,176,824
M9-A3-B5-C3,723,277,92,908
M11-A6-B9-C6,755,245,337,663
M12-A9-B2-C4,799,201,555,445
M3-A1-B1-C12,995,5,905,95
M8-A8-B10-C5,757,243,166,834
M1-A2-B11-C3,569,431,553,447
M2-A11-B10-C5,975,25,882,118
M5-A9-B6-C1,296,704,153,847
M6-A5-B2-C7,673,327,6,994
M12-A4-B11-C7,876,124,230,770
M1-A6-B2-C9,371,629,326,674
M2-A10-B10-C12,772,228,703,297
M3-A3-B7-C2,743,257,706,294
M3-A10-B7-C9,762,238,698,302
M13-A5-B1-C8,927,73,807,193
M9-A1-B9-C5,656,344,425,575
M2-A5-B7-C8,912,88,390,610
M10-A4-B10-C10,851,149,333,667
M8-A6-B8-C5,634,366,549,451
M5-A2-B3-C11,979,21,680,320
M3-A1-B6-C12,607,393,507,493
M6-A11-B11-C2,683,317,231,769
M9-A2-B3-C11,927,73,841,159
M1-A1-B5-C12,939,61,825,175
M12-A3-B1-C7,731,269,443,557
M11-A2-B6-C8,461,539,262,738
M13-A5-B8-C6,970,30,879,121
M9-A5-B8-C6,648,352,565,435
M12-A4-B6-C1,388,612,172,828
M6-A7-B6-C2,988,12,487,513
M7-A6-B3-C3,979,21,905,95
M12-A4-B7-C12,701,299,304,696
M11-A10-B11-C1,790,210,284,716
M4-A7-B8-C11,957,43,658,342
M7-A4-B5-C7,972,28,921,79
M4-A1-B7-C6,882,118,668,332
M13-A5-B9-C10,435,565,249,751
M13-A6-B7-C7,683,317,573,427
M11-A4-B1-C1,758,242,170,830
M9-A8-B6-C4,874,126,773,227
M9-A9-B11-C5,942,58,622,378
M10-A11-B1-C3,965,35,443,557
M7-A4-B2-C3,699,301,687,313
M5-A9-B9-C2,734,266,483,517
M3-A7-B4-C3,804,196,581,419
M12-A4-B8-C10,590,410,583,417
M5-A10-B1-C2,762,238,260,740
M7-A2-B2-C10,746,254,456,544
M1-A2-B7-C10,804,196,786,214
M5-A11-B9-C7,585,415,497,503
M5-A3-B10-C4,782,218,532,468
M9-A6-B11-C8,931,69,532,468
M5-A9-B8-C6,856,144,731,269
M6-A3-B5-C1,972,28,947,53
M4-A10-B2-C9,926,74,878,122
M2-A7-B8-C3,686,314,647,353
M13-A4-B7-C5,776,224,381,619
M4-A10-B5-C9,416,584,241,759
M1-A2-B8-C2,695,305,486,514
M2-A11-B7-C12,997,3,977,23
M7-A1-B6-C6,812,188,529,471
M9-A10-B3-C5,894,106,432,568
M12-A10-B4-C3,896,104,889,111
M2-A11-B4-C11,871,129,707,293
M6-A11-B4-C9,825,175,693,307
M6-A8-B1-C3,716,284,332,668
M4-A5-B5-C1,966,34,924,76
M13-A8-B10-C1,476,524,227,773
M3-A8-B3-C10,923,77,575,425
M1-A3-B4-C5,632,368,216,784
M7-A1-B10-C1,714,286,417,583
M2-A7-B10-C4,845,155,712,288
M6-A11-B1-C12,863,137,411,589
M9-A1-B8-C1,895,105,436,564
M10-A7-B11-C7,566,434,390,610
M11-A10-B8-C10,611,389,520,480
M4-A7-B8-C5,814,186,617,383
M9-A5-B3-C12,901,99,882,118
M9-A9-B4-C10,294,706,164,836
M10-A9-B11-C5,985,15,691,309
M2-A2-B8-C2,749,251,379,621
M4-A11-B9-C7,37,963,5,995
M1-A7-B7-C7,697,303,424,576
M8-A2-B3-C8,831,169,695,305
M7-A8-B8-C1,834,166,731,269
M12-A5-B3-C1,410,590,277,723
M6-A4-B5-C2,953,47,908,92
M10-A3-B10-C7,264,736,121,879
M6-A2-B9-C9,767,233,696,304
M10-A11-B5-C4,159,841,110,890
M11-A10-B3-C2,547,453,419,581
M5-A7-B8-C1,734,266,443,557
M4-A11-B3-C11,998,2,992,8
M9-A11-B3-C11,518,482,141,859
M3-A5-B6-C3,700,300,519,481
M13-A2-B2-C11,961,39,924,76
M9-A11-B1-C9,997,3,956,44
M11-A10-B11-C2,910,90,548,452
M6-A6-B10-C4,696,304,405,595
M3-A1-B4-C8,998,2,990,10
M7-A4-B10-C3,957,43,360,640
M13-A9-B8-C7,566,434,294,706
M2-A11-B7-C1,774,226,552,448
M12-A4-B4-C3,456,544,249,751
M12-A5-B9-C3,769,231,129,871
M8-A11-B2-C11,487,513,58,942
M2-A2-B1-C9,950,50,638,362
M3-A7-B1-C10,494,506,185,815
M10-A6-B3-C12,895,105,851,149
M6-A8-B9-C7,334,666,13,987
M7-A6-B7-C12,295,705,193,807
M2-A10-B2-C5,663,337,422,578
M8-A6-B10-C8,844,156,211,789
M5-A3-B7-C10,883,117,189,811
M10-A3-B6-C11,977,23,965,35
M5-A5-B3-C2,967,33,966,34
M2-A4-B1-C2,450,550,240,760
M10-A4-B4-C8,889,111,889,111
M13-A9-B10-C9,957,43,948,52
M9-A1-B7-C5,997,3,954,46
M3-A2-B9-C8,671,329,647,353
M8-A4-B3-C5,990,10,925,75
M9-A1-B10-C1,897,103,803,197
M9-A8-B4-C9,836,164,563,437
M2-A1-B1-C2,947,53,446,554
M9-A10-B3-C2,590,410,563,437
M12-A10-B3-C2,383,617,10,990
M1-A1-B11-C10,544,456,153,847
M4-A10-B5-C8,240,760,43,957
M3-A10-B2-C12,793,207,768,232
M5-A9-B9-C1,414,586,178,822
M2-A2-B11-C6,785,215,421,579
M10-A11-B6-C10,361,639,233,767
M1-A9-B11-C12,927,73,587,413
M10-A7-B6-C1,368,632,29,971
M3-A6-B11-C6,748,252,729,271
M12-A3-B7-C3,741,259,697,303
M1-A11-B4-C11,736,264,510,490
M3-A4-B9-C11,839,161,808,192
M3-A9-B6-C5,997,3,406,594
M2-A3-B9-C1,640,360,7,993
M5-A10-B4-C12,935,65,739,261
M8-A8-B5-C11,792,208,375,625
M2-A9-B6-C8,568,432,353,647
M11-A5-B4-C9,471,529,421,579
M9-A10-B6-C9,833,167,779,221
M7-A3-B8-C6,987,13,951,49
M1-A5-B1-C4,533,467,490,510
M6-A5-B11-C1,918,82,790,210
M12-A9-B11-C12,679,321,421,579
M7-A11-B5-C1,951,49,735,265
M5-A1-B8-C9,692,308,314,686
M10-A4-B10-C1,855,145,409,591
M9-A7-B6-C8,770,230,453,547
M8-A4-B9-C4,971,29,950,50
M2-A5-B2-C4,945,55,83,917
M12-A8-B11-C3,654,346,522,478
M8-A1-B11-C7,908,92,716,284
M8-A7-B7-C9,982,18,914,86
M10-A2-B9-C11,996,4,941,59
M4-A5-B10-C2,917,83,264,736
M10-A2-B5-C3,909,91,784,216
M5-A10-B3-C10,889,111,172,828
M8-A11-B8-C10,896,104,518,482
M4-A6-B2-C8,945,55,865,135
M4-A1-B5-C4,999,1,877,123
M2-A9-B6-C1,785,215,695,305
M8-A8-B1-C3,527,473,460,540
M12-A2-B11-C3,435,565,252,748
M10-A4-B11-C3,744,256,446,554
M8-A5-B7-C9,826,174,235,765
M1-A10-B1-C5,692,308,578,422
M10-A4-B3-C5,818,182,811,189
M5-A10-B4-C3,510,490,358,642
M10-A7-B10-C1,831,169,664,336
M4-A10-B10-C12,972,28,693,307
M6-A1-B2-C12,656,344,602,398
M13-A5-B4-C3,870,130,594,406
M8-A3-B5-C8,923,77,863,137
M2-A1-B8-C4,988,12,754,246
M3-A8-B1-C5,901,99,486,514
M2-A8-B3-C10,907,93,843,157
M3-A10-B8-C2,454,546,196,804
M4-A9-B6-C2,312,688,244,756
M4-A1-B4-C11,663,337,519,481
M12-A6-B2-C6,847,153,444,556
M4-A11-B6-C5,550,450,501,499
M6-A9-B7-C12,953,47,842,158
M7-A10-B8-C8,308,692,47,953
M3-A7-B5-C11,844,156,349,651
M7-A10-B10-C1,763,237,755,245
M8-A2-B11-C9,709,291,378,622
M5-A9-B5-C12,684,316,450,550
M6-A3-B5-C5,661,339,219,781
M12-A4-B3-C3,999,1,899,101
M8-A2-B3-C11,635,365,360,640
M8-A11-B5-C4,446,554,247,753
M4-A2-B6-C2,853,147,542,458
M7-A10-B3-C8,874,126,296,704
M13-A10-B8-C6,856,144,268,732
M1-A5-B5-C9,932,68,915,85
M5-A2-B2-C11,998,2,982,18
M12-A6-B11-C2,974,26,942,58
M11-A9-B7-C9,215,785,140,860
M2-A2-B11-C5,422,578,274,726
M3-A7-B5-C6,137,863,32,968
M8-A6-B6-C1,669,331,173,827
M3-A1-B8-C3,987,13,912,88
M12-A10-B11-C7,981,19,972,28
M9-A4-B11-C5,985,15,901,99
M8-A4-B8-C5,999,1,966,34
M7-A7-B5-C8,985,15,725,275
M2-A5-B8-C8,984,16,963,37
M1-A6-B6-C4,971,29,678,322
M9-A7-B10-C5,873,127,846,154
M10-A7-B1-C8,955,45,700,300
M10-A1-B1-C12,310,690,17,983
M3-A2-B6-C9,999,1,432,568
M4-A6-B10-C7,863,137,782,218
M1-A7-B7-C12,808,192,349,651
M8-A4-B10-C4,544,456,538,462
M11-A9-B4-C6,125,875,62,938
M8-A3-B2-C1,874,126,814,186
M7-A5-B3-C1,911,89,622,378
M12-A10-B8-C5,814,186,493,507
M10-A1-B8-C5,999,1,999,1
M6-A7-B3-C2,972,28,498,502
M1-A9-B3-C7,951,49,900,100
M7-A8-B4-C9,987,13,420,580
M9-A11-B11-C8,975,25,370,630
M12-A11-B9-C4,947,53,777,223
M9-A2-B2-C8,730,270,536,464
M11-A8-B10-C10,962,38,837,163
M9-A4-B5-C2,823,177,682,318
M9-A4-B9-C8,892,108,789,211
M1-A1-B3-C1,684,316,587,413
M2-A9-B1-C7,977,23,873,127
M12-A5-B4-C8,312,688,173,827
M2-A6-B5-C12,882,118,19,981
M8-A5-B6-C7,789,211,417,583
M10-A8-B4-C2,797,203,682,318
M6-A1-B8-C3,981,19,968,32
M7-A2-B8-C1,669,331,59,941
M7-A7-B8-C12,964,36,765,235
M6-A11-B7-C2,949,51,935,65
M2-A11-B2-C7,817,183,470,530
M12-A9-B6-C2,901,99,643,357
M7-A6-B7-C7,946,54,482,518
M12-A7-B5-C7,400,600,72,928
M4-A4-B6-C5,482,518,222,778
M6-A10-B3-C7,944,56,944,56
M1-A11-B7-C11,749,251,66,934
M3-A1-B5-C2,701,299,339,661
M11-A11-B4-C10,804,196,118,882
M7-A8-B7-C10,527,473,488,512
M13-A10-B7-C3,784,216,720,280
M4-A10-B8-C8,806,194,221,779
M3-A3-B2-C8,965,35,887,113
M5-A6-B5-C8,925,75,776,224
M6-A4-B5-C1,578,422,466,534
M4-A5-B1-C12,854,146,648,352
M4-A4-B10-C12,819,181,623,377
M11-A6-B11-C4,581,419,117,883
M9-A9-B6-C4,438,562,243,757
M9-A9-B7-C10,881,119,116,884
M6-A7-B9-C4,962,38,43,957
M10-A8-B3-C5,829,171,810,190
M1-A8-B11-C10,274,726,46,954
M11-A8-B8-C5,400,600,286,714
M6-A1-B8-C9,654,346,304,696
M9-A6-B8-C7,588,412,303,697
M10-A8-B7-C3,609,391,278,722
M5-A11-B10-C8,570,430,183,817
M2-A3-B1-C1,882,118,332,668
M13-A2-B4-C5,893,107,390,610
M13-A11-B7-C6,621,379,546,454
M4-A10-B8-C12,590,410,423,577
M8-A8-B3-C8,362,638,100,900
M3-A11-B5-C5,627,373,485,515
M6-A6-B7-C7,755,245,698,302
M8-A7-B6-C10,811,189,753,247
M6-A10-B11-C8,921,79,285,715
M2-A5-B1-C1,864,136,765,235
M3-A10-B6-C8,798,202,288,712
M13-A6-B2-C7,681,319,461,539
M10-A6-B9-C10,763,237,198,802
M13-A3-B2-C4,439,561,359,641
M13-A9-B1-C9,658,342,490,510
M3-A6-B2-C2,166,834,144,856
M10-A7-B10-C12,540,460,350,650
M11-A5-B1-C3,745,255,59,941
M6-A10-B6-C1,814,186,557,443
M2-A5-B10-C3,538,462,496,504
M9-A10-B3-C6,549,451,460,540
M11-A2-B5-C10,969,31,375,625
M10-A5-B2-C4,785,215,176,824
M3-A11-B4-C3,840,160,639,361
M4-A10-B10-C9,218,782,216,784
M5-A1-B11-C11,720,280,601,399
M11-A9-B11-C10,365,635,160,840
M10-A6-B10-C10,318,682,181,819
M8-A3-B3-C8,778,222,594,406
M7-A1-B11-C6,814,186,660,340
M9-A2-B6-C11,636,364,408,592
M10-A10-B6-C6,952,48,937,63
M10-A2-B2-C9,916,84,863,137
M3-A4-B5-C2,884,116,405,595
M13-A3-B5-C8,557,443,181,819
M6-A1-B3-C12,917,83,567,433
M3-A11-B7-C12,187,813,76,924
M1-A3-B3-C9,386,614,89,911
M2-A1-B5-C2,810,190,651,349
M9-A5-B7-C5,525,475,228,772
M5-A5-B11-C5,484,516,340,660
M1-A5-B6-C11,966,34,81,919
M10-A3-B3-C9,929,71,496,504
M5-A2-B4-C6,622,378,613,387
M10-A11-B5-C5,996,4,989,11
M4-A2-B4-C2,354,646,15,985
M7-A8-B6-C11,803,197,494,506
M7-A6-B7-C3,972,28,934,66
M4-A8-B6-C8,564,436,530,470
M3-A5-B1-C4,927,73,844,156
M2-A8-B8-C2,799,201,91,909
M8-A5-B10-C2,973,27,904,96
M10-A11-B2-C10,865,135,774,226
M12-A8-B8-C3,458,542,436,564
M8-A11-B3-C12,753,247,599,401
M7-A11-B10-C9,964,36,258,742
M2-A4-B11-C6,654,346,183,817
M1-A6-B4-C2,928,72,899,101
M4-A1-B2-C6,794,206,788,212
M4-A8-B5-C10,588,412,374,626
M2-A4-B3-C6,552,448,257,743
M1-A1-B4-C8,401,599,243,757
M4-A11-B9-C2,541,459,73,927
M1-A3-B3-C7,213,787,86,914
M3-A9-B4-C8,797,203,5,995
M5-A4-B10-C11,432,568,93,907
M3-A7-B8-C12,683,317,455,545
M4-A7-B8-C1,919,81,399,601
M2-A1-B10-C2,185,815,118,882
M13-A5-B6-C2,762,238,709,291
M4-A1-B9-C3,721,279,303,697
M2-A8-B5-C12,889,111,199,801
M2-A8-B8-C4,333,667,220,780
M13-A3-B1-C2,927,73,60,940
M12-A6-B10-C8,392,608,33,967
M8-A2-B10-C6,749,251,707,293
M1-A1-B10-C9,677,323,568,432
M13-A4-B9-C4,993,7,624,376
M2-A8-B8-C9,549,451,234,766
M10-A5-B9-C6,995,5,990,10
M7-A3-B9-C12,629,371,150,850
M8-A10-B3-C10,947,53,927,73
M1-A7-B9-C4,614,386,238,762
M9-A9-B6-C7,944,56,705,295
M9-A9-B9-C9,972,28,200,800
M4-A2-B7-C11,765,235,560,440
M13-A9-B1-C5,726,274,580,420
M11-A10-B5-C3,784,216,419,581
M7-A5-B8-C7,931,69,269,731
M11-A4-B8-C9,325,675,131,869
M2-A1-B5-C5,799,201,339,661
M5-A4-B11-C8,889,111,873,127
M4-A10-B11-C4,992,8,914,86
M12-A11-B8-C4,403,597,344,656
M9-A11-B11-C11,947,53,920,80
M13-A9-B3-C12,567,433,273,727
M9-A10-B5-C12,980,20,959,41
M2-A2-B1-C6,930,70,302,698
M7-A10-B9-C8,678,322,302,698
M3-A10-B6-C9,936,64,35,965
M3-A9-B5-C3,819,181,387,613
M1-A4-B4-C9,989,11,981,19
M8-A1-B1-C8,955,45,948,52
M13-A9-B9-C2,855,145,277,723
M4-A5-B9-C7,775,225,659,341
M6-A10-B9-C9,786,214,524,476
M1-A5-B4-C3,991,9,983,17
M2-A4-B7-C4,665,335,382,618
M5-A8-B3-C12,819,181,733,267
M1-A8-B1-C6,776,224,644,356
M5-A6-B8-C10,673,327,166,834
M2-A5-B7-C11,883,117,862,138
M9-A2-B4-C6,422,578,364,636
M1-A5-B10-C2,850,150,377,623
M2-A6-B7-C3,715,285,694,306
M11-A5-B7-C2,927,73,919,81
M5-A8-B4-C5,923,77,618,382
M12-A6-B11-C1,725,275,658,342
M1-A1-B5-C11,591,409,332,668
M12-A6-B8-C9,940,60,916,84
M10-A4-B10-C8,768,232,637,363
M10-A5-B6-C12,984,16,668,332
M7-A2-B6-C9,861,139,732,268
M12-A11-B2-C4,928,72,808,192
M11-A3-B1-C11,418,582,260,740
M2-A7-B11-C9,948,52,942,58
M1-A2-B2-C3,587,413,566,434
M1-A7-B8-C4,951,49,862,138
M10-A9-B1-C2,531,469,498,502
M6-A7-B5-C9,945,55,570,430
M13-A2-B2-C5,765,235,761,239
M13-A7-B10-C5,856,144,495,505
M12-A4-B11-C1,637,363,257,743
M12-A7-B10-C6,665,335,274,726
M6-A6-B2-C5,228,772,52,948
M6-A7-B10-C1,987,13,982,18
M4-A7-B10-C9,863,137,717,283
M8-A6-B7-C4,654,346,304,696
M7-A1-B4-C11,883,117,652,348
M13-A2-B3-C4,970,30,497,503
M8-A3-B6-C10,967,33,854,146
M12-A1-B6-C6,588,412,533,467
M8-A11-B3-C4,775,225,648,352
M10-A4-B10-C3,705,295,19,981
M8-A2-B1-C12,924,76,475,525
M13-A8-B4-C3,994,6,271,729
M6-A6-B11-C5,899,101,697,303
M2-A7-B11-C12,542,458,420,580
M12-A9-B1-C3,476,524,223,777
M9-A11-B10-C1,902,98,307,693
M7-A8-B10-C7,617,383,438,562
M12-A7-B3-C2,306,694,147,853
M6-A8-B5-C6,453,547,434,566
M10-A3-B10-C5,951,49,929,71
M1-A3-B4-C6,165,835,156,844
M9-A9-B7-C6,922,78,738,262
M4-A4-B3-C12,837,163,611,389
M3-A7-B9-C2,803,197,701,299
M6-A9-B10-C2,377,623,59,941
M10-A5-B8-C9,567,433,525,475
M10-A7-B5-C8,835,165,514,486
M11-A7-B11-C8,744,256,669,331
M1-A11-B6-C4,653,347,52,948
M4-A3-B7-C8,782,218,754,246
M2-A7-B7-C12,655,345,169,831
M11-A8-B11-C2,998,2,369,631
M3-A5-B3-C12,982,18,625,375
M5-A4-B10-C7,720,280,537,463
M6-A8-B5-C7,866,134,535,465
M12-A11-B9-C11,583,417,434,566
M10-A7-B2-C10,850,150,719,281
M2-A6-B9-C6,959,41,904,96
M10-A9-B9-C3,670,330,648,352
M3-A5-B3-C4,974,26,841,159
M5-A2-B8-C8,175,825,48,952
M4-A3-B11-C1,940,60,191,809
M10-A8-B9-C5,886,114,696,304
M1-A5-B6-C7,987,13,905,95
M10-A8-B8-C4,964,36,804,196
M4-A8-B4-C12,693,307,688,312
M4-A6-B7-C5,459,541,44,956
M4-A5-B7-C3,924,76,893,107
M4-A4-B2-C4,711,289,444,556
M12-A3-B6-C9,996,4,951,49
M13-A4-B10-C4,883,117,851,149
M6-A1-B2-C1,504,496,490,510
M7-A11-B4-C9,246,754,185,815
M7-A2-B7-C3,756,244,461,539
M9-A2-B3-C7,862,138,728,272
M3-A4-B2-C3,809,191,519,481
M1-A6-B5-C5,492,508,293,707
M4-A11-B9-C4,993,7,989,11
M2-A2-B8-C6,991,9,411,589
M5-A1-B9-C2,585,415,403,597
M10-A9-B7-C1,518,482,184,816
M8-A5-B6-C5,965,35,869,131
M10-A9-B11-C10,508,492,109,891
M13-A11-B10-C8,491,509,459,541
M9-A9-B2-C4,682,318,599,401
M5-A10-B10-C2,686,314,632,368
M4-A1-B11-C10,972,28,180,820
M9-A1-B2-C11,851,149,774,226
M4-A9-B9-C6,971,29,953,47
M2-A10-B6-C4,912,88,696,304
M10-A3-B11-C7,814,186,772,228
M1-A3-B7-C6,912,88,537,463
M10-A4-B6-C1,969,31,725,275
M8-A10-B8-C5,994,6,987,13
M3-A1-B6-C3,665,335,321,679
M2-A7-B6-C6,975,25,949,51
M6-A7-B3-C10,766,234,246,754
M9-A5-B11-C10,804,196,608,392
M2-A7-B1-C4,163,837,135,865
M10-A2-B2-C12,514,486,304,696
M6-A4-B4-C11,878,122,171,829
M11-A3-B5-C3,819,181,699,301
M6-A7-B2-C1,466,534,10,990
M7-A10-B9-C3,924,76,899,101
M12-A8-B8-C6,973,27,963,37
M8-A7-B3-C7,935,65,909,91
M5-A7-B6-C5,922,78,818,182
